target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
Bleach05,3,XGBoost,shap,group_2348,5,0.00268519026,16,5,5,0.037103291271,0.01815703336,0.48936449403860766,PAN,Antiseptic
Bleach05,3,XGBoost,shap,Clusters_5,5,0.00245868276,13.8,5,6,0.037103291271,0.020615716120000002,0.5556303878657063,STR,Antiseptic
Bleach05,3,XGBoost,shap,Clusters_6,5,0.00223843818,30.6,5,7,0.037103291271,0.022854154300000002,0.6159602967045367,STR,Antiseptic
Bleach05,3,XGBoost,shap,group_11310,5,0.00203640742,19.4,5,8,0.037103291271,0.024890561720000003,0.670845115550558,PAN,Antiseptic
Bleach05,3,XGBoost,shap,blaOXA~~~blaOXA1,5,0.001983055528,44.2,5,9,0.037103291271,0.026873617248,0.7242920055721437,PAN,Antiseptic
Bleach05,3,XGBoost,shap,Clusters_8,5,0.0018439950279999999,74,5,10,0.037103291271,0.028717612276,0.7739909666301151,STR,Antiseptic
Bleach1,3,XGBoost,shap,group_6437,5,0.0056700762200000004,5,5,1,0.039990069899,0.0056700762200000004,0.14178710450670623,PAN,Antiseptic
Bleach1,3,XGBoost,shap,Clusters_3,5,0.0054811753,6.4,5,2,0.039990069899,0.01115125152,0.2788505133440352,STR,Antiseptic
Bleach1,3,XGBoost,shap,Clusters_2,5,0.0054343829,6.2,5,3,0.039990069899,0.016585634420000002,0.4147438217009654,STR,Antiseptic
Bleach1,3,XGBoost,shap,group_2348,5,0.00339610448,9.8,5,4,0.039990069899,0.0199817389,0.4996675162225627,PAN,Antiseptic
Bleach1,3,XGBoost,shap,Clusters_6,5,0.00326760824,10.2,5,5,0.039990069899,0.02324934714,0.5813780070582316,STR,Antiseptic
Bleach1,3,XGBoost,shap,group_3419,5,0.00282820834,14.4,5,6,0.039990069899,0.02607755548,0.6521007726633681,PAN,Antiseptic
Bleach1,3,XGBoost,shap,Clusters_5,5,0.0026947896,15.8,5,7,0.039990069899,0.02877234508,0.7194872415244137,STR,Antiseptic
