row	column	strain	r_c
22	38	S151	22 38
21	39	H226	21 39
21	40	H226	21 40
22	39	H226	22 39
22	40	H226	22 40
21	41	S156	21 41
21	42	S156	21 42
22	41	S156	22 41
22	42	S156	22 42
21	43	H268	21 43
21	44	H268	21 44
22	43	H268	22 43
22	44	H268	22 44
21	45	S24	21 45
21	46	S24	21 46
22	45	S24	22 45
22	46	S24	22 46
21	47	H302	21 47
21	48	H302	21 48
22	47	H302	22 47
22	48	H302	22 48
23	1	RKPB110	23 1
23	2	RKPB110	23 2
24	1	RKPB110	24 1
24	2	RKPB110	24 2
23	3	25	23 3
23	4	25	23 4
24	3	25	24 3
24	4	25	24 4
23	5	RKPB111	23 5
23	6	RKPB111	23 6
24	5	RKPB111	24 5
24	6	RKPB111	24 6
23	7	RKPR012	23 7
23	8	RKPR012	23 8
24	7	RKPR012	24 7
24	8	RKPR012	24 8
23	9	RKPB112	23 9
23	10	RKPB112	23 10
24	9	RKPB112	24 9
24	10	RKPB112	24 10
23	11	DKPR004	23 11
23	12	DKPR004	23 12
24	11	DKPR004	24 11
24	12	DKPR004	24 12
23	13	RKPB113	23 13
23	14	RKPB113	23 14
24	13	RKPB113	24 13
24	14	RKPB113	24 14
23	15	DKPR005	23 15
23	16	DKPR005	23 16
24	15	DKPR005	24 15
24	16	DKPR005	24 16
23	17	RKPB115	23 17
23	18	RKPB115	23 18
24	17	RKPB115	24 17
24	18	RKPB115	24 18
23	19	DKPU021	23 19
23	20	DKPU021	23 20
24	19	DKPU021	24 19
24	20	DKPU021	24 20
23	21	RKPB410	23 21
23	22	RKPB410	23 22
24	21	RKPB410	24 21
