row	column	strain	r_c
20	23	DKPU016	20 23
20	24	DKPU016	20 24
19	25	JKPB540	19 25
19	26	JKPB540	19 26
20	25	JKPB540	20 25
20	26	JKPB540	20 26
19	27	DKPU020	19 27
19	28	DKPU020	19 28
20	27	DKPU020	20 27
20	28	DKPU020	20 28
19	29	JKPB542	19 29
19	30	JKPB542	19 30
20	29	JKPB542	20 29
20	30	JKPB542	20 30
19	31	DKPU025	19 31
19	32	DKPU025	19 32
20	31	DKPU025	20 31
20	32	DKPU025	20 32
19	33	JKPB524	19 33
19	34	JKPB524	19 34
20	33	JKPB524	20 33
20	34	JKPB524	20 34
19	35	DKPU094	19 35
19	36	DKPU094	19 36
20	35	DKPU094	20 35
20	36	DKPU094	20 36
19	37	JKPB525	19 37
19	38	JKPB525	19 38
20	37	JKPB525	20 37
20	38	JKPB525	20 38
19	39	HKPB014	19 39
19	40	HKPB014	19 40
20	39	HKPB014	20 39
20	40	HKPB014	20 40
19	41	JKPB517	19 41
19	42	JKPB517	19 42
20	41	JKPB517	20 41
20	42	JKPB517	20 42
19	43	HKPR001	19 43
19	44	HKPR001	19 44
20	43	HKPR001	20 43
20	44	HKPR001	20 44
19	45	JKPB507	19 45
19	46	JKPB507	19 46
20	45	JKPB507	20 45
20	46	JKPB507	20 46
19	47	HKPR012	19 47
19	48	HKPR012	19 48
20	47	HKPR012	20 47
20	48	HKPR012	20 48
21	1	KP036	21 1
21	2	KP036	21 2
22	1	KP036	22 1
22	2	KP036	22 2
21	3	343	21 3
21	4	343	21 4
22	3	343	22 3
22	4	343	22 4
21	5	KP037	21 5
21	6	KP037	21 6
22	5	KP037	22 5
22	6	KP037	22 6
21	7	345	21 7
21	8	345	21 8
22	7	345	22 7
22	8	345	22 8
21	9	MKPU064	21 9
21	10	MKPU064	21 10
22	9	MKPU064	22 9
22	10	MKPU064	22 10
21	11	349	21 11
21	12	349	21 12
22	11	349	22 11
22	12	349	22 12
21	13	KP041	21 13
21	14	KP041	21 14
22	13	KP041	22 13
22	14	KP041	22 14
21	15	350	21 15
21	16	350	21 16
22	15	350	22 15
22	16	350	22 16
21	17	KP042	21 17
21	18	KP042	21 18
22	17	KP042	22 17
22	18	KP042	22 18
21	19	352	21 19
21	20	352	21 20
22	19	352	22 19
22	20	352	22 20
21	21	KP044	21 21
21	22	KP044	21 22
22	21	KP044	22 21
22	22	KP044	22 22
21	23	354	21 23
21	24	354	21 24
22	23	354	22 23
22	24	354	22 24
21	25	KP045	21 25
21	26	KP045	21 26
22	25	KP045	22 25
22	26	KP045	22 26
21	27	361	21 27
21	28	361	21 28
22	27	361	22 27
22	28	361	22 28
21	29	KP046	21 29
21	30	KP046	21 30
22	29	KP046	22 29
22	30	KP046	22 30
21	31	362	21 31
21	32	362	21 32
22	31	362	22 31
22	32	362	22 32
21	33	KP047	21 33
21	34	KP047	21 34
22	33	KP047	22 33
22	34	KP047	22 34
21	35	363	21 35
21	36	363	21 36
22	35	363	22 35
22	36	363	22 36
21	37	KP049	21 37
21	38	KP049	21 38
22	37	KP049	22 37
22	38	KP049	22 38
21	39	371	21 39
21	40	371	21 40
22	39	371	22 39
22	40	371	22 40
21	41	MKPU079	21 41
21	42	MKPU079	21 42
22	41	MKPU079	22 41
22	42	MKPU079	22 42
21	43	376	21 43
21	44	376	21 44
22	43	376	22 43
22	44	376	22 44
21	45	KP052	21 45
21	46	KP052	21 46
22	45	KP052	22 45
22	46	KP052	22 46
21	47	378	21 47
21	48	378	21 48
22	47	378	22 47
22	48	378	22 48
23	1	HKPB415	23 1
23	2	HKPB415	23 2
24	1	HKPB415	24 1
24	2	HKPB415	24 2
23	3	MKPR024	23 3
23	4	MKPR024	23 4
24	3	MKPR024	24 3
24	4	MKPR024	24 4
23	5	HKPB08	23 5
23	6	HKPB08	23 6
24	5	HKPB08	24 5
24	6	HKPB08	24 6
23	7	HKPU010	23 7
23	8	HKPU010	23 8
24	7	HKPU010	24 7
24	8	HKPU010	24 8
23	9	HKPB100	23 9
23	10	HKPB100	23 10
24	9	HKPB100	24 9
24	10	HKPB100	24 10
23	11	HKPU012	23 11
23	12	HKPU012	23 12
24	11	HKPU012	24 11
24	12	HKPU012	24 12
23	13	HKPB101	23 13
23	14	HKPB101	23 14
24	13	HKPB101	24 13
24	14	HKPB101	24 14
23	15	MKPR025	23 15
23	16	MKPR025	23 16
24	15	MKPR025	24 15
24	16	MKPR025	24 16
23	17	HKPB102	23 17
23	18	HKPB102	23 18
24	17	HKPB102	24 17
24	18	HKPB102	24 18
23	19	HKPU016	23 19
23	20	HKPU016	23 20
24	19	HKPU016	24 19
24	20	HKPU016	24 20
23	21	HKPB103	23 21
23	22	HKPB103	23 22
24	21	HKPB103	24 21
24	22	HKPB103	24 22
23	23	HKPU017	23 23
23	24	HKPU017	23 24
24	23	HKPU017	24 23
24	24	HKPU017	24 24
23	25	HKPB104	23 25
23	26	HKPB104	23 26
24	25	HKPB104	24 25
24	26	HKPB104	24 26
23	27	HKPU026	23 27
23	28	HKPU026	23 28
24	27	HKPU026	24 27
24	28	HKPU026	24 28
