Gene,Annotation
group_8973,hypothetical protein
group_8965,DNA polymerase IV
group_8962,Terminase small subunit
group_8960,Restriction endonuclease
group_8959,CYTH domain-containing protein
group_8954,Pilin (type 1 fimbrial protein)
group_8952,DNA-binding transcriptional regulator LacI/PurR family
group_8951,Phage protein
group_8949,Outer membrane protein
group_8945,Restriction endonuclease type IV Mrr domain-containing protein
group_8944,Fimbrial-type adhesion domain-containing protein
group_8927,Response regulator receiver protein
group_8924,NinF family protein
group_8917,hypothetical protein
group_8914,AAA family ATPase
group_8901,Cytosine-specific methyltransferase
group_8899,hypothetical protein
group_8896,Phage protein
group_8891,hypothetical protein
group_8884,Protease synthase and sporulation negative regulatory protein PAI 1
group_8882,hypothetical protein
group_8880,hypothetical protein
group_8878,Acid-resistance membrane protein
group_8877,fimbrial protein BcfF
group_8876,DNA (cytosine-5-)-methyltransferase
group_8875,FidL-like membrane protein
group_8874,Serine/threonine-protein kinase A
group_8873,L-amino acid N-acyltransferase MnaT
group_8872,MBL fold metallo-hydrolase
group_8870,hypothetical protein
group_8863,hypothetical protein
group_8861,hypothetical protein
group_8857,hypothetical protein
group_8852,phage major capsid protein P2 family
rloB,RloB domain-containing protein
group_8848,hypothetical protein
group_8847,Phage tail protein
group_8845,N-acetyltransferase
group_8841,DUF551 domain-containing protein
group_8836,Catalase
group_8833,hypothetical protein
group_8831,hypothetical protein
group_8830,Host cell division inhibitor Icd-like protein
group_8828,hypothetical protein
group_8824,DUF2158 domain-containing protein
group_8823,Resolvase/invertase-type recombinase catalytic domain-containing protein
group_8818,hypothetical protein
group_8817,hypothetical protein
group_8816,hypothetical protein
group_8813,hypothetical protein
group_8808,hypothetical protein
group_8799,Protein YmjE
group_8797,major capsid protein
group_8793,hypothetical protein
group_8791,hypothetical protein
group_8782,ParB/Sulfiredoxin domain-containing protein
group_8769,Ead/Ea22-like family protein
group_8764,host-nuclease inhibitor Gam family protein
group_8759,hypothetical protein
group_8754,DUF1441 domain-containing protein
group_8752,hypothetical protein
group_8749,hypothetical protein
group_8745,hypothetical protein
group_8743,DUF2335 domain-containing protein
group_8687,hypothetical protein
group_8679,hypothetical protein
group_8672,AAA domain-containing protein
group_8651,hypothetical protein
group_8632,hypothetical protein
group_8595,YlcI/YnfO family protein
group_8581,IrrE N-terminal-like domain-containing protein
group_8567,DUF2158 domain-containing protein
group_8557,DUF4297 domain-containing protein
group_8531,hypothetical protein
group_8518,hypothetical protein
finQ,Fertility inhibition protein FinQ
group_8512,DNA-binding protein
group_8506,hypothetical protein
group_8505,Transcriptional regulator
group_8500,hypothetical protein
group_8491,hypothetical protein
group_8485,beta family protein
group_8484,Conserved domain protein
group_8476,Zn-dependent alcohol/formaldehyde dehydrogenase
group_8471,putative PurR-regulated permease PerM
group_8470,oxalurate catabolism protein HpxX
group_8464,hypothetical protein
group_8448,Phage tail protein
group_8438,hypothetical protein
group_8401,hypothetical protein
group_8374,Lipoprotein
group_8347,hypothetical protein
group_8346,transcriptional regulator
group_8340,hypothetical protein
group_8313,CopG family transcriptional regulator
group_8301,hypothetical protein
group_8290,hypothetical protein
group_8277,hypothetical protein
group_8265,Catalase domain protein
group_8264,D-alanine--D-alanine ligase
group_8242,hypothetical protein
group_8236,GNAT family N-acetyltransferase
group_8230,DUF2158 domain-containing protein
group_8197,hypothetical protein
group_8173,hypothetical protein
group_8172,hypothetical protein
group_8169,DUF3696 domain-containing protein
group_8127,hypothetical protein
group_8122,hsdR
group_8119,hypothetical protein
group_8118,secretoglobin family protein
group_8116,DNA cytosine methyltransferase
group_8091,hypothetical protein
group_8067,hypothetical protein
group_8066,hypothetical protein
group_8056,ABC-type nickel/cobalt efflux system permease component RcnA
group_8047,Putative lipoprotein
group_8027,Pilin (type 1 fimbrial protein)
group_8009,non-specific serine/threonine protein kinase
group_7997,YlcI/YnfO family protein
group_7995,hypothetical protein
group_7992,RNA 2'3'-cyclic phosphodiesterase
group_7981,hypothetical protein
group_7936,ApeA N-terminal domain-containing protein
group_7935,AlpA family transcriptional regulator
group_7934,hypothetical protein
waaG,UDP-glucose:(Heptosyl) LPS alpha1 3-glucosyltransferase WaaG
group_7917,hypothetical protein
group_7903,hypothetical protein
group_7883,Transposase
group_7873,Ubiquitin-like protease family profile domain-containing protein
group_7864,hypothetical protein
group_7863,hypothetical protein
group_7862,Antitoxin
group_7852,hypothetical protein
group_7850,ead/Ea22-like family protein
group_7849,Secreted protein
group_7841,hypothetical protein
group_7829,GNAT family acetyltransferase
group_7821,Pilin (type 1 fimbrial protein)
group_7802,Eaa protein
group_7792,Terminase
group_7790,hypothetical protein
group_7785,Pilus assembly protein PilN
group_7778,DUF550 domain-containing protein
group_7774,Vitamin B12-binding protein
group_7721,AAA family ATPase
group_7720,hypothetical protein
group_7718,hypothetical protein
ydiK,AI-2E family transporter YdiK
group_7709,hypothetical protein
group_7685,hypothetical protein
group_7682,Antirepressor
group_7677,hypothetical protein
group_7676,hypothetical protein
ret,Retron Eco8 reverse transcriptase
group_7660,hypothetical protein
group_7659,hypothetical protein
group_7655,hypothetical protein
group_7653,hypothetical protein
group_7645,DUF3696 domain-containing protein
group_7627,helix-turn-helix domain-containing protein
group_7626,Prophage protein
group_7621,Pilin (type 1 fimbrial protein)
group_7620,ADP-ribose pyrophosphatase YjhB NUDIX family
group_7617,hypothetical protein
group_7616,AAA family ATPase
group_7596,Protein dhr
group_7593,hypothetical protein
luxE,Acyl-protein synthetase LuxE domain-containing protein
bcfE,Fimbrial protein BcfE
group_7580,hypothetical protein
group_7558,Phage protein
group_7534,Cytosine-specific methyltransferase
irrE,IrrE N-terminal-like domain-containing protein
group_7484,hypothetical protein
group_7482,Hypothetical prophage protein
group_7465,hypothetical protein
group_7459,AlpA family phage regulatory protein
group_7454,hypothetical protein
group_7443,hypothetical protein
group_7441,hypothetical protein
group_7439,Transcriptional regulator contains XRE-family HTH domain
group_7438,hypothetical protein
group_7413,Ead/Ea22-like family protein
hdc,histidine decarboxylase
group_7412,Multidrug resistance efflux pump EmrA
group_7406,hypothetical protein
group_7405,Lipoprotein
group_7397,hypothetical protein
group_7395,Plasmid replication protein RepL domain-containing protein
group_7391,hypothetical protein
group_7383,zinc ribbon domain-containing protein
group_7374,Inner membrane protein
group_7373,hypothetical protein
group_7366,hypothetical protein
group_7365,Late control protein D
group_7362,hypothetical protein
group_7324,phage N-6-adenine-methyltransferase
group_7323,3'-5' exonuclease
group_7319,M2-EarI
group_7311,site-specific DNA-methyltransferase (cytosine-N(4)-specific)
group_7301,ead/Ea22-like family protein
group_7292,Protein N-acetyltransferase RimJ/RimL family
group_7288,Pilin (type 1 fimbrial protein)
group_7240,type 1 fimbrial protein
group_7238,Multidrug resistance efflux pump EmrA
group_7231,DUF2441 domain-containing protein
group_7209,Replication protein
group_7199,hypothetical protein
group_7198,Phage protein
ydcS,putative ABC transporter substrate-binding protein YdcS
group_7179,Peptidase S9A/B/C family catalytic domain protein
group_7175,hypothetical protein
group_7143,hypothetical protein
group_7141,Acyltransferase
group_7138,YmfL family putative regulatory protein
group_7137,hypothetical protein
group_7135,acetylornithine deacetylase
group_7123,DNA (cytosine-5-)-methyltransferase
group_7120,YmfL family putative regulatory protein
group_7109,AlpA family transcriptional regulator
group_7105,Pilin (type 1 fimbrial protein)
group_7103,Pilin (type 1 fimbrial protein)
group_7098,ead/Ea22-like family protein
group_7077,50S ribosomal protein L33
group_7073,reverse transcriptase family protein
flhB,flagellar biosynthesis protein FlhB
group_7068,N-acetyltransferase domain-containing protein
group_7067,Integrase
yiaY,L-threonine dehydrogenase
group_7066,phage portal protein
group_7065,hypothetical protein
group_7060,HNH endonuclease
group_7055,hypothetical protein
group_7047,Nucleoid-associated protein
iteA,anti-phage ATPase IteA
group_7015,TraD
group_7013,Ead/Ea22-like family protein
group_6965,Apea-like HEPN domain-containing protein
group_6947,hypothetical protein
group_6944,VgrG protein
group_6942,DNA-binding protein
group_6940,Pentapeptide repeat-containing protein
group_6930,Phage/conjugal plasmid C-4 type zinc finger protein TraR family
group_6906,Phage protein
group_6895,RNA-directed DNA polymerase
group_6893,hypothetical protein
group_6891,Restriction endonuclease subunit S
group_6886,DUF551 domain-containing protein
group_6855,TMhelix containing protein
group_6853,restriction endonuclease subunit S
group_6850,DUF262 domain-containing protein
group_6847,hypothetical protein
napC,Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase
flmC,Protein FlmC
group_6800,Type II secretory pathway ATPase component GspA/ExeA/MshM
group_6799,Cytosine-specific methyltransferase
benE,putative benzoate:H+ symporter BenE
group_6792,hypothetical protein
group_6790,hypothetical protein
group_6787,Type IV secretion protein Rhs
group_6783,helix-turn-helix transcriptional regulator
group_6781,Holin
group_6780,Thiol-disulfide isomerase or thioredoxin
group_6766,arsenite efflux transporter metallochaperone ArsD
group_6759,DNA-directed RNA polymerase subunit beta
group_6758,Fimbrial-type adhesion domain-containing protein
group_6738,hypothetical protein
group_6734,LysR family transcriptional regulator
group_6721,DUF987 domain-containing protein
group_6718,DGQHR domain-containing protein
group_6715,Aspartate/methionine/tyrosine aminotransferase
group_6711,DNA-binding beta-propeller fold protein YncE
group_6700,terminase small subunit
group_6696,Restriction endonuclease subunit S
group_6677,hypothetical protein
group_6674,Phage tail protein
group_6649,Helix-hairpin-helix domain-containing protein
dinP,Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair
group_6636,IS21 family IS21 transposase
group_6630,hypothetical protein
group_6623,ead/Ea22-like family protein
group_6606,DUF3800 domain-containing protein
group_6605,50S ribosomal protein L7/L12-serine acetyltransferase
group_6584,Fimbrial protein
group_6576,Nitrate reductase
group_6573,spermidine N1-acetyltransferase
group_6568,hypothetical protein
group_6565,hypothetical protein
group_6557,Cold-shock protein
group_6555,hypothetical protein
group_6552,DUF4177 domain-containing protein
group_6534,Ead/Ea22-like family protein
group_6506,hypothetical protein
group_6505,hypothetical protein
nupC,Nucleoside permease NupC
fliK,Flagellar hook-length control protein FliK
group_6494,Phage shock protein PspA
group_6493,Bifunctional acetaldehyde-CoA/alcohol dehydrogenase
group_6491,Sce7726 family protein
group_6486,hypothetical protein
group_6485,Metal-dependent amidase/aminoacylase/carboxypeptidase
pulJ,prepilin peptidase-dependent protein
group_6450,WG repeat-containing protein
group_6446,SLOG cluster3 family
group_6430,Antitoxin SocA-like Panacea domain-containing protein
group_6428,AAA family ATPase
group_6426,recombinase family protein
group_6416,MFS transporter AraJ
group_6415,prepilin peptidase-dependent protein
yxeP,Uncharacterized hydrolase YxeP
group_6408,hypothetical protein
